"x_blur","y_blur","fitness"
50,18,0.933071
0,19,0.948819
1,19,0.944882
2,19,0.937008
3,19,0.944882
4,19,0.944882
5,19,0.940945
6,19,0.944882
7,19,0.944882
8,19,0.948819
9,19,0.952756
10,19,0.940945
11,19,0.937008
12,19,0.944882
13,19,0.944882
14,19,0.944882
15,19,0.956693
16,19,0.937008
17,19,0.937008
18,19,0.937008
19,19,0.948819
20,19,0.937008
21,19,0.948819
22,19,0.944882
23,19,0.940945
24,19,0.925197
25,19,0.937008
26,19,0.952756
27,19,0.929134
28,19,0.940945
29,19,0.952756
30,19,0.948819
31,19,0.944882
32,19,0.944882
33,19,0.944882
34,19,0.96063
35,19,0.929134
36,19,0.948819
37,19,0.933071
38,19,0.964567
39,19,0.944882
40,19,0.933071
41,19,0.933071
42,19,0.952756
43,19,0.933071
44,19,0.929134
45,19,0.937008
46,19,0.952756
47,19,0.944882
48,19,0.933071
49,19,0.925197
50,19,0.937008
0,20,0.933071
1,20,0.933071
2,20,0.933071
3,20,0.952756
4,20,0.952756
5,20,0.956693
6,20,0.940945
7,20,0.96063
8,20,0.948819
9,20,0.956693
10,20,0.944882
11,20,0.937008
12,20,0.952756
13,20,0.944882
14,20,0.944882
15,20,0.948819
16,20,0.940945
17,20,0.940945
18,20,0.948819
19,20,0.944882
20,20,0.948819
21,20,0.937008
22,20,0.944882
23,20,0.937008
24,20,0.948819
25,20,0.948819
26,20,0.948819
27,20,0.937008
28,20,0.933071
29,20,0.940945
30,20,0.940945
31,20,0.948819
32,20,0.940945
33,20,0.96063
34,20,0.948819
35,20,0.925197
36,20,0.940945
37,20,0.929134
38,20,0.952756
39,20,0.933071
40,20,0.933071
41,20,0.937008
42,20,0.925197
43,20,0.937008
44,20,0.933071
45,20,0.933071
46,20,0.940945
47,20,0.925197
48,20,0.929134
49,20,0.937008
50,20,0.937008
0,21,0.944882
1,21,0.937008
2,21,0.948819
3,21,0.944882
4,21,0.937008
5,21,0.933071
6,21,0.92126
7,21,0.952756
8,21,0.948819
9,21,0.940945
10,21,0.940945
11,21,0.929134
12,21,0.937008
13,21,0.952756
14,21,0.952756
15,21,0.937008
16,21,0.925197
17,21,0.940945
18,21,0.948819
19,21,0.944882
20,21,0.940945
21,21,0.964567
22,21,0.956693
23,21,0.952756
24,21,0.937008
25,21,0.925197
26,21,0.944882
27,21,0.937008
28,21,0.944882
29,21,0.929134
30,21,0.925197
31,21,0.940945
32,21,0.92126
33,21,0.929134
34,21,0.937008
35,21,0.940945
36,21,0.948819
37,21,0.937008
38,21,0.937008
39,21,0.952756
40,21,0.944882
41,21,0.937008
42,21,0.937008
43,21,0.948819
44,21,0.929134
45,21,0.92126
46,21,0.925197
47,21,0.944882
48,21,0.933071
49,21,0.940945
50,21,0.913386
0,22,0.956693
1,22,0.940945
2,22,0.933071
3,22,0.952756
4,22,0.925197
5,22,0.940945
6,22,0.944882
7,22,0.940945
8,22,0.929134
9,22,0.96063
10,22,0.952756
11,22,0.940945
12,22,0.933071
13,22,0.940945
14,22,0.96063
15,22,0.944882
16,22,0.956693
17,22,0.956693
18,22,0.929134
19,22,0.952756
20,22,0.948819
21,22,0.952756
22,22,0.940945
23,22,0.940945
24,22,0.940945
25,22,0.940945
26,22,0.940945
27,22,0.96063
28,22,0.944882
29,22,0.952756
30,22,0.956693
31,22,0.944882
32,22,0.948819
33,22,0.96063
34,22,0.929134
35,22,0.940945
36,22,0.937008
37,22,0.933071
38,22,0.917323
39,22,0.937008
40,22,0.940945
41,22,0.913386
42,22,0.944882
43,22,0.909449
44,22,0.909449
45,22,0.909449
46,22,0.929134
47,22,0.925197
48,22,0.940945
49,22,0.929134
50,22,0.929134
0,23,0.944882
1,23,0.940945
2,23,0.956693
3,23,0.940945
4,23,0.940945
5,23,0.940945
6,23,0.952756
7,23,0.948819
8,23,0.937008
9,23,0.92126
10,23,0.952756
11,23,0.944882
12,23,0.937008
13,23,0.944882
14,23,0.964567
15,23,0.96063
16,23,0.956693
17,23,0.940945
18,23,0.952756
19,23,0.948819
20,23,0.96063
21,23,0.948819
22,23,0.944882
23,23,0.940945
24,23,0.937008
25,23,0.933071
26,23,0.948819
27,23,0.92126
28,23,0.933071
29,23,0.944882
30,23,0.948819
31,23,0.925197
32,23,0.929134
33,23,0.937008
34,23,0.925197
35,23,0.940945
36,23,0.925197
37,23,0.925197
38,23,0.933071
39,23,0.92126
40,23,0.917323
41,23,0.944882
42,23,0.956693
43,23,0.952756
44,23,0.909449
45,23,0.925197
46,23,0.92126
47,23,0.917323
48,23,0.929134
49,23,0.917323
50,23,0.917323
0,24,0.944882
1,24,0.952756
2,24,0.964567
3,24,0.948819
4,24,0.944882
5,24,0.952756
6,24,0.944882
7,24,0.956693
8,24,0.948819
9,24,0.96063
10,24,0.948819
11,24,0.937008
12,24,0.944882
13,24,0.940945
14,24,0.952756
15,24,0.937008
16,24,0.937008
17,24,0.952756
18,24,0.944882
19,24,0.933071
20,24,0.952756
21,24,0.944882
22,24,0.940945
23,24,0.937008
24,24,0.929134
